Year,Total_CO2_t,CBAM_Cost_USD,CBAM_Phase_In_Factor,TR_ETS_Cost_USD,TR_ETS_Free_Alloc_t,Freight_Cost_USD,Total_Cost_USD,Cost_per_Tonne_USD
2025,1713760.589708544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,1713760.589708544,1281971.9753100004,0.025,2978728.560976897,749718.1691999999,650000.0,4910700.536286897,2.790830410078119
2027,1713760.589708544,2692141.1481510005,0.05,3309327.468485743,730494.6263999998,669500.0,6670968.616636744,3.791219183987092
2028,1713760.589708544,5653496.411117102,0.1,3856285.048776029,692047.5407999998,689585.0,10199366.459893132,5.796464652948158
2029,1713760.589708544,13356385.271264154,0.225,5050513.71923808,595929.8267999999,710272.55,19117171.540502235,10.864597280097021
2030,1713760.589708544,30229951.997294534,0.485,7490128.4941627635,396004.98167999997,731580.7265000001,38451661.217957295,21.852699966558742
2031,1713760.589708544,39922235.575808555,0.61,8968694.314741535,299887.26767999993,753528.1482950001,49644458.03884509,28.213747135030264
2032,1713760.589708544,50508172.63218075,0.735,10576391.396142777,203769.55367999995,776133.9927438501,61860698.02106738,35.15643357808856
2033,1713760.589708544,62052897.80525064,0.86,12322436.449897291,107651.83968,799418.0125261656,75174752.2676741,42.723025594500804
2034,1713760.589708544,75762258.94827113,1.0,14370015.441514265,0.0,823400.5529019507,90955674.94268735,51.691578772418566
